Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
Shots,Shots,Shots,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals-Shots G-S,111-1116,111-1011,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals Per Game G/AVG,2.9,2.9,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shot Percentage S%,.099,.110,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shots Per Game S/AVG,29.4,26.6,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists A,186,186,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saves SV,899,1001,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Plays,Power Plays,Power Plays,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals-Opportunities PPG-OPP,26-146,24-147,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion Percentage PPG%,.178,.163,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
